data_coleta;ticker;descricao;patrimonio;p_vp;dy;dy_5anos;liquidez;tipo;segmento
2026-04-24;NUIF11;Nu Fi-Infra;109,67 M;0,94;15,19;9,26;179,53 K;Outro;Fundo de Infraestrutura (FI-Infra)
2026-04-24;BIPD11;Brio Real Estate Iv Fii;105,12 M;1,04;6,98;4,82;155,08 K;Fundo Misto;Híbrido
2026-04-24;IAAG11;Inter Amerra - Fiagro;101,69 M;0,89;16,02;11,59;233,07 K;Outro;Fiagros
2026-04-24;SPTW11;Sp Downtown Fundos;97,45 M;0,74;13,35;15,0;110,45 K;Fundo de Tijolo;Lajes Corporativas
2026-04-24;TMPS11;Itaú Tempus;93,71 M;0,79;13,35;9,37;246,61 K;Outro;Títulos e Valores Mobiliários
2026-04-24;OIAG11;Ourinvest Innovation;88,50 M;0,94;14,99;13,74;142,10 K;Outro;Fiagros
2026-04-24;ICNE11;Ícone Fii;84,72 M;1,37;14,08;22,51;1,00 M;Fundo de Desenvolvimento;Outros
2026-04-24;RECM11;Rec Multiestratégia;81,09 M;0,79;17,89;13,47;376,94 K;Fundo de Papel;Híbrido
2026-04-24;RBIF11;Rio Bravo Esg;77,98 M;0,87;15,63;9,8;255,17 K;Outro;Fundo de Infraestrutura (FI-Infra)
2026-04-24;LKDV11;Development V1;73,49 M;0,91;;;257,33 K;Fundo de Papel;Híbrido
2026-04-24;ITIT11;Inter Teve Indice De Tijolo;72,16 M;0,95;9,72;9,2;170,52 K;Fundo de Fundos;Títulos e Valores Mobiliários
2026-04-24;SNID11;Suno Infra Debêntures Infra Renda Fixa Cp;71,67 M;1,1;13,74;11,98;198,08 K;Outro;Fundo de Infraestrutura (FI-Infra)
2026-04-24;SNME11;Suno Multiestratégia;70,44 M;1,0;15,3;9,69;143,95 K;Fundo Misto;Híbrido
2026-04-24;CPFF11;Capitânia Reit Fof;67,46 M;1,12;;8,51;4,78 M;Fundo de Fundos;Híbrido
2026-04-24;CCVA11;Canuma Capital Renda Varejo;64,14 M;0,87;1,5;1,5;175,12 K;Outro;Hospitalar
2026-04-24;HRES11;Fii Hire Residencial I;56,70 M;0,98;28,22;12,44;169,53 K;Fundo de Desenvolvimento;Híbrido
2026-04-24;RFOF11;Rb Capital I Fundo De Fundos;55,27 M;0,84;12,87;11,58;633,03 K;Fundo de Fundos;Títulos e Valores Mobiliários
2026-04-24;VANG11;Vang Infra;50,50 M;1,0;11,88;8,48;886,01 K;Outro;Fundo de Infraestrutura (FI-Infra)
2026-04-24;EMET11;Emet Multiestratégia Fii;49,68 M;0,93;12,36;5,8;700,12 K;Fundo Misto;Híbrido
2026-04-24;OGIN11;Órama Fic Fi-Infra;44,77 M;0,8;12,84;8,97;107,99 K;Fundo de Papel;Fundo de Infraestrutura (FI-Infra)
2026-04-24;ASRF11;Asa Retrofits I Fundo De Investimento Imobiliário;38,34 M;1,14;;;194,24 K;Fundo de Desenvolvimento;Híbrido
2026-04-24;PNPR11;Panorama Properties;36,73 M;1,12;;1,16;1,67 M;Fundo de Desenvolvimento;Híbrido
2026-04-24;PRIF11;Pátria Crédito Infra;36,07 M;1,01;11,85;10,36;132,56 K;Fundo Misto;Fundo de Infraestrutura (FI-Infra)
2026-04-24;ERCR11;Estoque Residencial E Comercial Rj;35,38 M;0,39;;5,97;1,51 M;Fundo de Tijolo;Híbrido
2026-04-24;EDGE11;Edge Fundo De Investimento Imobiliário;14,01 M;0,87;7,39;7,39;259,49 K;Fundo de Papel;Títulos e Valores Mobiliários
