data_coleta;ticker;descricao;patrimonio;p_vp;dy;dy_5anos;liquidez;tipo;segmento
2026-05-08;JCCJ11;Jhsf Capital Jardins;983,48 M;0,78;7,33;2,38;292,83 K;Fundo de Fundos;Fundo de Fundos
2026-05-08;BBIG11;Fii Bbig;946,52 M;0,73;13,56;10,68;740,76 K;Fundo de Tijolo;Shoppings / Varejo
2026-05-08;BPML11;Btg Pactual Shoppings;922,56 M;0,75;15,47;8,35;651,31 K;Fundo de Tijolo;Shoppings / Varejo
2026-05-08;SNEL11;Suno Energias Limpas;899,33 M;1,05;14,04;10,09;3,92 M;Outro;Outros
2026-05-08;VINO11;Vinci Offices;816,54 M;0,51;12,02;9,98;631,98 K;Fundo de Tijolo;Lajes Corporativas
2026-05-08;RZAK11;Riza Akin;778,30 M;0,97;15,56;14,98;1,39 M;Fundo de Papel;Títulos e Valores Mobiliários
2026-05-08;HABT11;Habitat Ii;777,11 M;0,79;15,9;14,84;1,06 M;Fundo de Papel;Títulos e Valores Mobiliários
2026-05-08;PQAG11;Parque Anhanguera;777,09 M;0,95;10,92;8,98;691,39 K;Fundo de Tijolo;Logístico / Indústria / Galpões
2026-05-08;XPCI11;Xp Credito Imobiliário;771,39 M;0,94;13,13;12,51;1,74 M;Fundo de Papel;Títulos e Valores Mobiliários
2026-05-08;RECT11;Fii Rec Renda Imobiliária;766,84 M;0,43;13,92;11,2;450,99 K;Outro;Híbrido
2026-05-08;RVBI11;Vbi Reits Fof (Old);760,04 M;0,81;6,97;11,14;1,18 M;Fundo de Fundos;Títulos e Valores Mobiliários
2026-05-08;XPIN11;Invista Industrial;751,80 M;0,65;14,12;9,98;920,05 K;Fundo de Tijolo;Outros
2026-05-08;RCRB11;Rio Bravo Renda Corporativa;735,57 M;0,72;7,49;7,25;1,37 M;Fundo de Tijolo;Lajes Corporativas
2026-05-08;JSAF11;Js Ativos Financeiros;725,67 M;0,83;12,97;10,68;1,58 M;Fundo de Papel;Títulos e Valores Mobiliários
2026-05-08;CCME11;Canuma Capital Multiestratégia;720,78 M;0,85;11,28;8,3;276,17 K;Fundo Misto;Outros
2026-05-08;BTAL11;Btg Pactual Agro Logística;692,45 M;0,78;12,6;10,64;768,06 K;Fundo de Tijolo;Outros
2026-05-08;RZAG11;Fdo Inv Cadeias Prod Agro Riza Agro;678,87 M;0,91;16,56;12,78;1,43 M;Outro;Fiagros
2026-05-08;RBRL11;Rbr Log;677,48 M;0,84;11,33;9,73;2,15 M;Fundo de Tijolo;Logístico / Indústria / Galpões
2026-05-08;CPUR11;Classe Única Do Capitânia Hbc Renda Urbana;665,11 M;1,04;10,92;9,33;12,34 M;Outro;Híbrido
2026-05-08;SNAG11;Suno Agro;654,38 M;1,05;14,46;11,05;2,30 M;Outro;Fiagros
2026-05-08;KFOF11;Kinea Fii;654,10 M;0,9;11,22;10,28;1,03 M;Fundo de Fundos;Títulos e Valores Mobiliários
2026-05-08;MFII11;Mérito Desenvolvimento Imobiliário;646,54 M;0,63;21,29;13,8;2,42 M;Fundo de Desenvolvimento;Híbrido
2026-05-08;TRBL11;Fdo De Invest Imob Tellus Rio Bravo Renda Logistic;625,33 M;0,93;10,36;9,77;1,09 M;Fundo de Tijolo;Logístico / Indústria / Galpões
2026-05-08;TJKB11;Tjk Renda Imobiliária;604,56 M;0,49;13,49;10,43;879,12 K;Outro;Lajes Corporativas
2026-05-08;VIGT11;Vinci Energia;602,20 M;0,76;4,53;8,4;678,32 K;Outro;Fundo de Investimentos em Participações (FIP)
2026-05-08;ITRI11;Itaú Total Return Fii;598,97 M;0,91;12,04;10,47;1,03 M;Fundo Misto;Títulos e Valores Mobiliários
2026-05-08;FATN11;Athena I;579,69 M;0,9;11,08;10,39;1,90 M;Fundo de Tijolo;Lajes Corporativas
2026-05-08;BODB11;Bocaina Infra;562,37 M;0,92;14,66;10,07;1,16 M;Outro;Fundo de Infraestrutura (FI-Infra)
2026-05-08;BCRI11;Banestes Recebíveis Imobiliários;533,54 M;0,73;15,94;13,62;431,06 K;Fundo de Papel;Títulos e Valores Mobiliários
2026-05-08;RZAT11;Riza Arctium Real Estate;533,31 M;0,79;12,43;14,17;655,88 K;Fundo de Tijolo;Híbrido
2026-05-08;IBBP11;Invista Brazilian Business Park Fii;526,39 M;0,82;10,82;10,29;1,29 M;Fundo Misto;Logístico / Indústria / Galpões
2026-05-08;CPOF11;Capitânia Office Fii - Fdo De Inv Imob;507,56 M;1,03;5,22;7,3;1,56 M;Fundo Misto;Híbrido
2026-05-08;BINC11;Bradesco Fic Rf Infra Cdi Créd Priv;488,10 M;1,0;15,88;9,29;744,51 K;Outro;Fundo de Infraestrutura (FI-Infra)
2026-05-08;TOPP11;Rbr Top Offices Fii;481,17 M;0,62;15,27;7,76;612,01 K;Fundo de Tijolo;Lajes Corporativas
2026-05-08;TEPP11;Tellus Properties;480,27 M;0,91;12,28;9,58;1,92 M;Fundo de Tijolo;Lajes Corporativas
2026-05-08;INLG11;Inter Logístico Fii;479,81 M;0,66;12,04;9,85;321,35 K;Fundo de Tijolo;Logístico / Indústria / Galpões
2026-05-08;VCRA11;Vectis Datagro Cr Agr;472,12 M;0,62;17,37;14,46;544,94 K;Outro;Fiagros
2026-05-08;ADSH11;Ad Shopping Fundo De Investimento Imobiliário;466,70 M;1,05;0,75;0,75;26,02 M;Fundo Misto;Shoppings / Varejo
2026-05-08;SARE11;Santander Renda De Aluguéis;464,92 M;0,94;1,09;8,45;831,29 K;Fundo Misto;Híbrido
2026-05-08;HREC11;Hedge Recebíveis;459,80 M;0,93;12,24;11,73;170,58 K;Fundo de Papel;Títulos e Valores Mobiliários
2026-05-08;CACR11;Cartesia Recebíveis Imobiliários;458,75 M;0,34;44,73;16,65;1,60 M;Fundo de Papel;Híbrido
2026-05-08;AFHI11;Af Invest Cri;455,47 M;1,02;12,4;12,07;743,29 K;Fundo de Papel;Títulos e Valores Mobiliários
2026-05-08;JMBI11;Jivemaua Bossanova;445,57 M;0,88;16,28;9,31;922,59 K;Outro;Fundo de Infraestrutura (FI-Infra)
2026-05-08;VRTM11;Fator Verità Multiestratégia;445,39 M;0,76;14,9;9,39;203,60 K;Outro;Híbrido
2026-05-08;PATL11;Pátria Logística;444,52 M;0,73;10,93;10,65;495,33 K;Fundo de Tijolo;Logístico / Indústria / Galpões
2026-05-08;XPCA11;Xp Crédito Agrícola;443,60 M;0,84;16,3;14,82;938,54 K;Outro;Fiagros
2026-05-08;BDIV11;Btg Pactual Infraestrutura Dividendos;434,37 M;0,91;17,26;17,96;407,59 K;Outro;Fundo de Investimentos em Participações (FIP)
2026-05-08;FCFL11;Campus Faria Lima;432,66 M;1,0;8,79;8,45;120,30 K;Fundo de Tijolo;Educacional
2026-05-08;HTMX11;Fii Hotel Maxinvest;432,47 M;0,91;11,85;9,82;372,24 K;Fundo de Tijolo;Hotéis
2026-05-08;ENDD11;Endurance Debt;429,77 M;1,09;9,12;7,14;305,82 K;Outro;Fundo de Investimentos em Participações (FIP)
2026-05-08;FGAA11;Fg Agro Fdo De Invest;425,61 M;0,96;15,78;15,43;868,98 K;Outro;Fiagros
2026-05-08;RINV11;Real Investor;423,38 M;1,01;12,04;10,76;285,97 K;Outro;Títulos e Valores Mobiliários
2026-05-08;CLIN11;Clave Índices De Preços;423,01 M;0,96;12,95;9,64;1,02 M;Fundo de Papel;Títulos e Valores Mobiliários
2026-05-08;AZIN11;Az Quest Infra-Yield Ii Fip-Ie;419,00 M;1,04;18,73;12,76;731,70 K;Outro;Fundo de Investimentos em Participações (FIP)
2026-05-08;SNCI11;Suno Recebíveis Imobiliários;409,41 M;0,94;13,13;11,2;453,09 K;Outro;Títulos e Valores Mobiliários
2026-05-08;KNDI11;Kinea Estrategia Infra;406,00 M;1,01;15,0;8,15;1,14 M;Outro;Fundo de Investimentos em Participações (FIP)
2026-05-08;FIIB11;Industrial Do Brasil;404,77 M;0,78;8,99;8,64;288,01 K;Fundo de Tijolo;Logístico / Indústria / Galpões
2026-05-08;TRXB11;Trx Real Estate Ii;401,32 M;1,82;15,56;12,08;5,76 M;Fundo de Desenvolvimento;Híbrido
2026-05-08;ICRI11;Itaú Crédito Imobiliário Ipca;394,40 M;0,98;11,93;12,62;764,90 K;Fundo de Papel;Títulos e Valores Mobiliários
2026-05-08;LASC11;Legatus Shoppings;387,98 M;0,83;10,81;8,66;3,21 M;Fundo de Tijolo;Shoppings / Varejo
2026-05-08;BCIA11;Bradesco Carteira Imobiliária Ativa;383,87 M;0,91;10,88;10,22;607,64 K;Fundo de Fundos;Títulos e Valores Mobiliários
2026-05-08;BTRA11;Btg Pactual Terras Agrícolas;381,69 M;0,55;11,18;8,39;230,90 K;Outro;Fiagros
2026-05-08;BBGO11;Bb Fundo De Invest De Crédito Fiagro;377,31 M;0,79;14,57;12,91;247,33 K;Outro;Fiagros
2026-05-08;CXCO11;Caixa Imóveis Corporativos;374,90 M;0,77;12,29;11,11;146,97 K;Fundo de Tijolo;Lajes Corporativas
2026-05-08;AJFI11;Aj Malls;372,20 M;0,75;7,59;6,72;157,65 K;Fundo de Tijolo;Shoppings / Varejo
2026-05-08;LIFE11;Life Capital;368,11 M;0,9;17,22;14,95;1,21 M;Outro;Outros
2026-05-08;NEWL11;Newport Logística;366,57 M;0,81;11,05;11,13;231,88 K;Fundo de Tijolo;Híbrido
2026-05-08;AIEC11;Autonomy Edifícios Corporativos;366,25 M;0,8;6,64;12,22;3,54 M;Fundo de Tijolo;Lajes Corporativas
2026-05-08;KISU11;Klima Fic Fundo Imobiliário Suno 30;366,21 M;0,82;12,43;10,59;478,18 K;Fundo de Fundos;Títulos e Valores Mobiliários
2026-05-08;BARI11;Barigui Rendimentos Imobiliários I;363,70 M;1,0;4,77;12,3;1,01 M;Fundo de Papel;Títulos e Valores Mobiliários
2026-05-08;PLAG11;Vbi Agro;360,48 M;0,97;9,75;10,78;11,16 M;Fundo Misto;Outros
2026-05-08;AZPL11;Az Quest Panorama Logística Fii;360,34 M;0,9;12,92;10,21;422,46 K;Fundo Misto;Logístico / Indústria / Galpões
2026-05-08;HPDP11;Hedge Shopping Parque Dom Pedro;357,49 M;0,82;8,62;6,78;5,47 M;Fundo de Tijolo;Shoppings / Varejo
2026-05-08;PORD11;Polo Recebíveis Imobiliários Ii;355,59 M;0,88;14,02;13,18;488,25 K;Fundo de Papel;Títulos e Valores Mobiliários
2026-05-08;MANA11;Manatí Capital Hedge Fund;354,07 M;1,0;14,01;12,34;1,24 M;Outro;Títulos e Valores Mobiliários
2026-05-08;RPRI11;Rbr Premium Recebíveis Imobiliários;350,17 M;0,82;14,36;13,24;588,65 K;Fundo de Papel;Híbrido
2026-05-08;SNFF11;Sunofofi - Fii;349,07 M;0,86;13,13;9,76;401,42 K;Fundo de Fundos;Títulos e Valores Mobiliários
2026-05-08;XPSF11;Xp Selection Fundo De Fundos;348,52 M;0,83;11,98;11,42;347,80 K;Fundo de Fundos;Títulos e Valores Mobiliários
2026-05-08;CYCR11;Cyrela Crédito;343,47 M;0,95;14,39;12,17;661,83 K;Fundo de Papel;Outros
2026-05-08;KCRE11;Kinea Creditas;340,23 M;0,99;12,41;11,79;339,08 K;Fundo de Papel;Títulos e Valores Mobiliários
2026-05-08;PPEI11;Prisma Proton Energia;340,00 M;1,11;14,9;9,32;261,32 K;Outro;Fundo de Investimentos em Participações (FIP)
2026-05-08;OUJP11;Ourinvest Jpp;327,86 M;0,86;15,26;13,67;353,12 K;Fundo de Papel;Híbrido
2026-05-08;TRXY11;Trx Hedge Fund;316,10 M;0,97;15,61;7,99;175,95 K;Outro;Híbrido
2026-05-08;HDOF11;Hedge Desenvolvimento Logístico;312,76 M;0,98;;;1,41 M;Fundo de Desenvolvimento;Lajes Corporativas
2026-05-08;EGAF11;Ecoagro I Fdo Inv Cadeias Prod Agroind;310,62 M;0,94;18,34;16,27;1,08 M;Outro;Fiagros
2026-05-08;WHGR11;Whg Real Estate;306,60 M;0,96;12,97;11,65;261,89 K;Fundo Misto;Híbrido
2026-05-08;VGRI11;Valora Renda Imob Fundo De Inves Imob;306,59 M;0,74;20,96;17,45;1,13 M;Fundo de Tijolo;Híbrido
2026-05-08;VSLH11;Versalhes Recebíveis Imobiliários;305,37 M;0,18;19,24;12,8;177,32 K;Fundo de Papel;Outros
2026-05-08;NMKS11;Nm Ksm Log;302,93 M;1,06;;;1,27 M;Fundo de Papel;Logístico / Indústria / Galpões
2026-05-08;VPPR11;V2 Prime Properties;302,67 M;0,53;;7,55;194,73 K;Fundo Misto;Outros
2026-05-08;BBFO11;Bb Fundo De Fundos;302,43 M;0,95;13,26;11,44;542,99 K;Fundo de Fundos;Títulos e Valores Mobiliários
2026-05-08;SAPI11;Santander Papéis Imobiliários;295,84 M;0,93;15,55;9,76;312,71 K;Fundo de Papel;Títulos e Valores Mobiliários
2026-05-08;XPID11;Xp Infra Debêntures;282,47 M;0,55;14,85;13,11;177,80 K;Outro;Fundo de Infraestrutura (FI-Infra)
2026-05-08;BPFF11;Brasil Plural Absoluto;279,19 M;0,86;6,53;10,79;305,22 K;Fundo de Fundos;Títulos e Valores Mobiliários
2026-05-08;BODI11;Bocaina Infra Cdi Fic Fi Infra Rf;278,01 M;1,0;2,21;2,21;259,98 K;Outro;Fundo de Infraestrutura (FI-Infra)
2026-05-08;GAME11;Guardian Multiestratégia I;273,65 M;0,93;12,93;10,81;227,93 K;Fundo de Papel;Outros
2026-05-08;HGPO11;Cshg Prime Offices;270,34 M;0,99;;14,66;122,97 K;Fundo de Tijolo;Lajes Corporativas
2026-05-08;RBFM11;Rio Bravo Multiestratégia Fii;244,43 M;0,81;4,07;4,07;607,00 K;Fundo Misto;Híbrido
2026-05-08;CRAA11;Sparta Fiagro Fdo Inv Nas Cad Prod Agro;240,86 M;1,01;14,5;13,33;653,41 K;Outro;Fiagros
2026-05-08;GRUL11;Icatu Vanguarda Gru Logístico;238,15 M;0,93;11,93;9,26;286,07 K;Fundo de Tijolo;Logístico / Indústria / Galpões
2026-05-08;RBED11;Rio Bravo Renda Educacional;235,52 M;0,94;;10,26;268,63 K;Fundo de Tijolo;Educacional
2026-05-08;COPN11;Copérnico Fip Infra;232,52 M;0,5;;0,66;316,63 K;Outro;Fundo de Investimentos em Participações (FIP)
2026-05-08;CJCT11;Cidade Jardim Continental Tower;231,52 M;0,88;4,49;2,67;640,14 K;Fundo de Tijolo;Lajes Corporativas
2026-05-08;CXAG11;Caixa Agências;231,30 M;0,69;11,92;11,29;213,26 K;Fundo de Tijolo;Agências Bancárias
2026-05-08;VXXV11;Vx Xvi;227,09 M;1,59;;5,49;18,88 M;Fundo de Desenvolvimento;Outros
2026-05-08;HSAF11;Hsi Ativos Financeiros;225,02 M;0,91;14,08;13,3;1,02 M;Fundo de Papel;Títulos e Valores Mobiliários
2026-05-08;NSLU11;Hospital Nossa Senhora De Lourdes;224,39 M;1,08;16,28;10,07;120,83 K;Fundo de Tijolo;Hospitalar
2026-05-08;RDIV11;Rbr Desenvolvimento Iv;223,66 M;1,01;;;386,79 K;Fundo de Papel;Híbrido
2026-05-08;BLMG11;Bluemacaw Logística;220,76 M;0,7;13,69;11,59;279,36 K;Fundo de Tijolo;Outros
2026-05-08;HOFC11;Hedge Office Income;217,28 M;0,59;;8,18;108,99 K;Fundo de Tijolo;Lajes Corporativas
2026-05-08;JSCR11;Js Recebíveis Imobiliários;209,84 M;0,87;13,85;10,04;328,53 K;Fundo de Papel;Títulos e Valores Mobiliários
2026-05-08;JGPX11;Jgp Crédito;208,20 M;0,68;17,29;14,43;328,98 K;Outro;Fiagros
2026-05-08;VCRR11;Vectis Renda Residencial;208,16 M;0,59;9,07;9,67;289,60 K;Fundo de Tijolo;Outros
2026-05-08;AAZQ11;Az Quest Fiagro;207,80 M;0,94;16,51;16,41;339,86 K;Outro;Fiagros
2026-05-08;VIUR11;Vinci Imóveis Urbanos;206,25 M;0,35;28,86;11,11;987,30 K;Fundo Misto;Outros
2026-05-08;BIDB11;Inter Fi-Infra;205,20 M;0,97;15,29;13,55;324,51 K;Outro;Fundo de Infraestrutura (FI-Infra)
2026-05-08;BLCA11;Bluemacaw Catuaí Triple A;204,56 M;0,77;6,5;8,61;1,47 M;Fundo Misto;Lajes Corporativas
2026-05-08;HGFF11;Patria Imobiliário Fof;203,82 M;0,84;7,89;10,06;551,19 K;Fundo de Fundos;Títulos e Valores Mobiliários
2026-05-08;KOPA11;Kinea Oportunidades Agro I;202,69 M;0,9;24,22;10,5;204,87 K;Outro;Fiagros
2026-05-08;FIGS11;General Shopping Fundo De Investimento;199,56 M;0,73;11,28;9,0;125,03 K;Fundo de Tijolo;Shoppings / Varejo
2026-05-08;CPTR11;Capitania Agro Strategies;198,92 M;0,83;15,81;12,6;247,58 K;Outro;Fiagros
2026-05-08;VCRI11;Vinci Credit;195,70 M;0,79;14,89;12,92;439,94 K;Fundo de Papel;Títulos e Valores Mobiliários
2026-05-08;VINF11;Vinland Infraestrutura Fi Fif Debentures Infra;192,26 M;0,94;8,67;3,39;204,94 K;Outro;Fundo de Infraestrutura (FI-Infra)
2026-05-08;SPXS11;Spx Real Estate Multiestratégia;190,66 M;0,9;14,46;10,73;651,77 K;Outro;Híbrido
2026-05-08;KIVO11;Kilima Volkano Recebíveis Imobiliários;190,22 M;0,73;18,02;15,63;541,39 K;Fundo de Papel;Títulos e Valores Mobiliários
